imagem_url,legenda_pt,categoria,legenda_kanji,legenda_hiragana,legenda_romaji,descricao,credito_imagem,fonte_url,ordem
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-crossroad-left.png,Aviso de cruzamento sem controle com uma via à esquerda,Sinais de prioridade,,,,Aviso de cruzamento sem controle com uma via à esquerda,,https://traffic-rules.com/pt-jp/livro/traffic-signs-2#warning-crossroad-left,0
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-curve-left-sharp.png,Aviso de curva acentuada à esquerda,advertência,,,,Aviso de curva acentuada à esquerda,,https://traffic-rules.com/pt-jp/livro/traffic-signs-2#warning-curve-left-sharp,1
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-curves.png,Aviso de curvas,advertência,,,,Aviso de curvas,,https://traffic-rules.com/pt-jp/livro/traffic-signs-2#warning-curves,2
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-side-road-merge.png,Aviso de via lateral se unindo à via principal,advertência,,,,Aviso de via lateral se unindo à via principal,,https://traffic-rules.com/pt-jp/livro/traffic-signs-2#warning-side-road-merge,3
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/information/information-one-way-traffic-left.png,Rua com tráfego unidirecional,informação,,,,Rua com tráfego unidirecional,,https://traffic-rules.com/pt-jp/livro/traffic-signs-2#information-one-way-traffic-left,4
